id,created_at,status,deadline,finished_at,category/Epic/project,description
1,"2024-06-01, 09:01",4 = done,"2024-06-30, 20:01","2024-06-29, 20:01",digital hygiene,back up all data from your email account with Google
2,"2024-06-01, 09:02",4 = done,"2024-06-30, 20:02","2024-06-29, 20:02",personal finances,save up for a new smartphone
3,"2024-06-01, 09:03",4 = done,"2024-06-30, 20:03","2024-06-29, 20:03",health,go for a dental hygiene appointment
4,"2024-06-01, 09:04",4 = done,"2024-06-30, 20:04","2024-06-29, 20:04",work,prepare a series of workshops about writing unit tests
5,"2024-06-01, 09:05",4 = done,"2024-06-30, 20:05","2024-06-29, 20:05",sports,go running with John
6,"2024-06-01, 09:06",4 = done,"2024-07-25, 20:00 << 2024-06-30, 20:06","2024-07-22, 22:00",travel,visit Poland
7,"2024-06-01, 09:07",4 = done,"2024-06-30, 20:07","2024-06-29, 20:07",entertainment,watch interviews with Larry David
8,"2024-06-01, 09:08",5 = will not do,"2024-07-31, 20:08",n/a,digital hygiene,[some vague and/or unimportant idea #1]
9,"2024-06-01, 09:09",5 = will not do,"2024-07-31, 20:09",n/a,personal finances,[some vague and/or unimportant idea #2]
10,"2024-06-01, 09:10",5 = will not do,"2024-07-31, 20:10",n/a,health,[some vague and/or unimportant idea #3]
11,"2024-06-01, 09:11",5 = will not do,"2024-07-31, 20:11",n/a,work,[some vague and/or unimportant idea #4]
12,"2024-06-01, 09:12",5 = will not do,"2024-07-31, 20:12",n/a,sports,[some vague and/or unimportant idea #5]
13,"2024-06-01, 09:13",5 = will not do,"2024-07-31, 20:13",n/a,travel,[some vague and/or unimportant idea #6]
14,"2024-06-01, 09:14",5 = will not do,n/a,n/a,entertainment,[some vague and/or unimportant idea #7]
15,"2024-06-01, 09:15",3 = in progress,"2024-12-31, 20:15",n/a,digital hygiene,unsubscribe from all mailing lists which your email address with Google is on
16,"2024-06-01, 09:16",3 = in progress,"2024-12-31, 20:16",n/a,personal finances,research smartphone models + make up your mind for one of them
17,"2024-06-01, 09:17",3 = in progress,"2024-12-31, 20:17",n/a,health,get into the habit of going to bed and waking up at the same time everyday
18,"2024-06-01, 09:18",3 = in progress,"2024-12-31, 20:18",n/a,work,"hold the workshop series, with one workshop per week"
19,"2024-06-01, 09:19",3 = in progress,"2024-12-31, 20:19",n/a,sports,look up studios in your neighborhood where one can practice martial arts
20,"2024-06-01, 09:20",3 = in progress,"2024-12-31, 20:20",n/a,travel,plan a trip for the winter-holiday season
21,"2024-06-01, 09:21",3 = in progress,"2024-12-31, 20:21",n/a,entertainment,watch “Curb Your Enthusiasm”
22,"2024-06-01, 09:22",2 = selected,"2025-01-31, 20:22",n/a,digital hygiene,"if any messages land in the inbox of your email address with Google, inform the sender that this email account is not in use and will be decomissioned soon"
23,"2024-06-01, 09:23",2 = selected,"2025-01-31, 20:23",n/a,personal finances,"buy the smartphone (model), which you have made up your mind for"
24,"2024-06-01, 09:24",2 = selected,"2025-01-31, 20:24",n/a,health,meditate once per week throughout 2025-01
25,"2024-06-01, 09:25",2 = selected,"2025-01-31, 20:25",n/a,work,discuss with your manager the extent to which your development goals for 2024 lined up with your actual interests
26,"2024-06-01, 09:26",2 = selected,"2025-01-31, 20:26",n/a,sports,go for trial practices in 2 or 3 studios
27,"2024-06-01, 09:27",2 = selected,"2025-01-31, 20:27",n/a,travel,buy your own skiing equipment
28,"2024-06-01, 09:28",2 = selected,"2025-01-31, 20:28",n/a,entertainment,watch some clips from the “Seinfeld” show
29,"2024-06-01, 09:29",1 = backlog,"2025-02-28, 20:29",n/a,digital hygiene,go for a dental check-up
30,"2024-06-01, 09:30",1 = backlog,"2025-02-28, 20:30",n/a,personal finances,save up for an Amazon Kindle
31,"2024-06-01, 09:31",1 = backlog,"2025-02-28, 20:31",n/a,health,consider whether you would benefit from seeing a psychologist
32,"2024-06-01, 09:32",1 = backlog,"2025-02-28, 20:32",n/a,work,have a 1-on-1 with your manager to agree on your development goals for 2025
33,"2024-06-01, 09:33",1 = backlog,"2025-02-28, 20:33",n/a,sports,start going to dance classes - from the first week of 2025-02 on
34,"2024-06-01, 09:34",1 = backlog,"2025-02-28, 20:34",n/a,travel,go skiing on one Saturday or Sunday
35,"2024-06-01, 09:35",1 = backlog,"2025-02-28, 20:35",n/a,entertainment,watch “Ferris Bueller's Day Off”
